"","state","census_2010_pop","estimates_base_2010","census_2020_pop","estimates_base_2020","pop_estimate_2010","pop_estimate_2011","pop_estimate_2012","pop_estimate_2013","pop_estimate_2014","pop_estimate_2015","pop_estimate_2016","pop_estimate_2017","pop_estimate_2018","pop_estimate_2019","pop_estimate_2020","pop_estimate_2021","pop_estimate_2022","pop_estimate_2023","n_pop_chg_2010","n_pop_chg_2011","n_pop_chg_2012","n_pop_chg_2013","n_pop_chg_2014","n_pop_chg_2015","n_pop_chg_2016","n_pop_chg_2017","n_pop_chg_2018","n_pop_chg_2019","n_pop_chg_2020","n_pop_chg_2021","n_pop_chg_2022","n_pop_chg_2023","births_2010","births_2011","births_2012","births_2013","births_2014","births_2015","births_2016","births_2017","births_2018","births_2019","births_2020","births_2021","births_2022","births_2023","deaths_2010","deaths_2011","deaths_2012","deaths_2013","deaths_2014","deaths_2015","deaths_2016","deaths_2017","deaths_2018","deaths_2019","deaths_2020","deaths_2021","deaths_2022","deaths_2023","natural_chg_2010","natural_chg_2011","natural_chg_2012","natural_chg_2013","natural_chg_2014","natural_chg_2015","natural_chg_2016","natural_chg_2017","natural_chg_2018","natural_chg_2019","natural_chg_2020","natural_chg_2021","natural_chg_2022","natural_chg_2023","international_mig_2010","international_mig_2011","international_mig_2012","international_mig_2013","international_mig_2014","international_mig_2015","international_mig_2016","international_mig_2017","international_mig_2018","international_mig_2019","international_mig_2020","international_mig_2021","international_mig_2022","international_mig_2023","domestic_mig_2010","domestic_mig_2011","domestic_mig_2012","domestic_mig_2013","domestic_mig_2014","domestic_mig_2015","domestic_mig_2016","domestic_mig_2017","domestic_mig_2018","domestic_mig_2019","domestic_mig_2020","domestic_mig_2021","domestic_mig_2022","domestic_mig_2023","net_mig_2010","net_mig_2011","net_mig_2012","net_mig_2013","net_mig_2014","net_mig_2015","net_mig_2016","net_mig_2017","net_mig_2018","net_mig_2019","net_mig_2020","net_mig_2021","net_mig_2022","net_mig_2023","residual_2010","residual_2011","residual_2012","residual_2013","residual_2014","residual_2015","residual_2016","residual_2017","residual_2018","residual_2019","residual_2020","residual_2021","residual_2022","residual_2023","gq_estimates_base_2010","gq_estimates_base_2020","gq_estimates_2010","gq_estimates_2011","gq_estimates_2012","gq_estimates_2013","gq_estimates_2014","gq_estimates_2015","gq_estimates_2016","gq_estimates_2017","gq_estimates_2018","gq_estimates_2019","gq_estimates_2020","gq_estimates_2021","gq_estimates_2022","gq_estimates_2023","r_birth_2011","r_birth_2012","r_birth_2013","r_birth_2014","r_birth_2015","r_birth_2016","r_birth_2017","r_birth_2018","r_birth_2019","r_birth_2021","r_birth_2022","r_birth_2023","r_death_2011","r_death_2012","r_death_2013","r_death_2014","r_death_2015","r_death_2016","r_death_2017","r_death_2018","r_death_2019","r_death_2021","r_death_2022","r_death_2023","r_natural_chg_2011","r_natural_chg_2012","r_natural_chg_2013","r_natural_chg_2014","r_natural_chg_2015","r_natural_chg_2016","r_natural_chg_2017","r_natural_chg_2018","r_natural_chg_2019","r_natural_chg_2021","r_natural_chg_2022","r_natural_chg_2023","r_international_mig_2011","r_international_mig_2012","r_international_mig_2013","r_international_mig_2014","r_international_mig_2015","r_international_mig_2016","r_international_mig_2017","r_international_mig_2018","r_international_mig_2019","r_international_mig_2021","r_international_mig_2022","r_international_mig_2023","r_domestic_mig_2011","r_domestic_mig_2012","r_domestic_mig_2013","r_domestic_mig_2014","r_domestic_mig_2015","r_domestic_mig_2016","r_domestic_mig_2017","r_domestic_mig_2018","r_domestic_mig_2019","r_domestic_mig_2021","r_domestic_mig_2022","r_domestic_mig_2023","r_net_mig_2011","r_net_mig_2012","r_net_mig_2013","r_net_mig_2014","r_net_mig_2015","r_net_mig_2016","r_net_mig_2017","r_net_mig_2018","r_net_mig_2019","r_net_mig_2021","r_net_mig_2022","r_net_mig_2023"
"28","Montana",989415,989407,1084225,1084244,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,1087211,1106366,1122878,1132812,1290,6619,6467,9786,8300,8606,10384,11623,8183,8113,2967,19155,16512,9934,3063,12002,12035,12207,12380,12582,12430,12194,11552,11618,2812,10841,11219,11206,2410,9118,8962,9439,9370,9682,9923,10260,9666,9870,2518,12151,12896,11377,653,2884,3073,2768,3010,2900,2507,1934,1886,1748,294,-1310,-1677,-171,347,435,326,1647,609,585,849,949,288,322,44,712,1793,609,306,3297,3019,5318,4629,5074,6996,8699,5996,6024,2746,20376,15837,9485,653,3732,3345,6965,5238,5659,7845,9648,6284,6346,2790,21088,17630,10094,-16,3,49,53,52,47,32,41,13,19,-117,-623,559,11,28849,29305,28846,28784,28794,28846,28855,28827,28868,28808,28941,28943,29291,29311,29306,29307,12.074367723,12.028390399,12.102003022,12.164457969,12.261102427,12.00192726,11.650275803,10.93345612,10.911773642,9.9,10.1,9.9,9.1729782451,8.9570780856,9.3578116263,9.2068635842,9.4350654666,9.5812650205,9.8025118698,9.1484406906,9.2700297683,11.1,11.6,10.1,2.9013894778,3.0713123139,2.7441913955,2.9575943851,2.8260369607,2.4206622399,1.8477639333,1.7850154296,1.6417438739,-1.2,-1.5,-0.2,0.4376228928,0.3258209614,1.6328335362,0.5983970035,0.5700798697,0.8197615643,0.9066845774,0.2725792385,0.3024265031,0.6,1.6,0.5,3.3168797186,3.0173419706,5.2722578905,4.5484067803,4.9445901857,6.7550670244,8.311116058,5.6749483117,5.6578175607,18.6,14.2,8.4,3.7545026114,3.343162932,6.9050914268,5.1468037838,5.5146700553,7.5748285887,9.2178006354,5.9475275501,5.9602440638,19.2,15.8,8.9
"29","Nebraska",1826341,1826305,1961504,1961965,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,1963273,1964253,1968060,1978379,3237,11130,12631,11976,14042,11956,14339,10331,9667,8794,1308,980,3807,10319,6509,25722,25763,26029,26467,26859,26619,26226,25470,25343,6046,24410,24174,24195,3653,15621,15220,16174,15683,16557,16135,16881,15731,15582,4462,19570,19473,18496,2856,10101,10543,9855,10784,10302,10484,9345,9739,9761,1584,4840,4701,5699,650,2073,3169,3083,4992,4045,5871,4642,3280,3295,93,1580,4042,5441,-247,-1013,-993,-878,-1653,-2297,-1963,-3599,-3334,-4220,-778,-6037,-4367,-834,403,1060,2176,2205,3339,1748,3908,1043,-54,-925,-685,-4457,-325,4607,-22,-31,-88,-84,-81,-94,-53,-57,-18,-42,409,597,-569,13,51165,49984,50807,51230,51365,51118,52147,52361,52542,51684,51046,51012,49974,46498,47000,47479,14.016621374,13.948659642,13.99942236,14.136089302,14.246546569,14.021464392,13.725274188,13.260234577,13.131013243,12.4,12.3,12.3,8.5123101814,8.2404455905,8.6990148395,8.3763285798,8.7821613442,8.4990543584,8.8346051079,8.1898998871,8.0735291146,10,9.9,9.4,5.5043111928,5.7082140513,5.3004075209,5.7597607221,5.4643852248,5.5224100337,4.8906690796,5.0703346895,5.0574841283,2.5,2.4,2.9,1.1296344028,1.7157668907,1.6581589434,2.6662393847,2.1455482658,3.092528549,2.4293724845,1.7076391602,1.7072441556,0.8,2.1,2.8,-0.552011409,-0.537632225,-0.472223014,-0.882871335,-1.21837438,-1.034003329,-1.883522527,-1.735752732,-2.186516035,-3.1,-2.2,-0.4,0.5776229942,1.1781346652,1.1859359293,1.78336805,0.9271738859,2.0585252205,0.5458499572,-0.028113572,-0.47927188,-2.3,-0.2,2.3
"30","Nevada",2700551,2700677,3104614,3104617,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,3115840,3146632,3177421,3194176,1728,10325,31266,31974,41658,49311,50624,52342,57436,52815,11223,30792,30789,16755,8898,35845,34708,35082,35223,36228,36290,36152,35700,35932,8167,33361,33542,33055,4939,20204,20414,21249,21248,22454,23312,24504,25146,25610,7009,32390,33435,29322,3959,15641,14294,13833,13975,13774,12978,11648,10554,10322,1158,971,107,3733,911,795,3358,4222,3582,6219,2585,2679,-992,-970,137,3612,10179,4266,-3055,-6054,13402,13900,23725,29035,34931,37822,47650,43207,10289,25387,20526,8642,-2144,-5259,16760,18122,27307,35254,37516,40501,46658,42237,10426,28999,30705,12908,-87,-57,212,19,376,283,130,193,224,256,-361,822,-23,114,36298,36964,36260,36944,37065,37267,37393,37311,38000,38207,37667,37663,36597,35251,34752,35093,13.238820454,12.721181162,12.710947857,12.594040544,12.746089544,12.547320409,12.281000933,11.905464608,11.766522358,10.7,10.6,10.4,7.4620484993,7.4821422223,7.6989604646,7.597256721,7.8999860499,8.0601579877,8.3241216768,8.3858491047,8.3864142709,10.3,10.6,9.2,5.7767719549,5.2390389402,5.0119873927,4.9967838232,4.8461034939,4.4871624212,3.9568792561,3.5196155035,3.3801080868,0.3,0,1.2,0.2936214887,1.230774644,1.5297195671,1.2807498859,2.1880294489,0.8937675188,0.9100686407,-0.330818512,-0.317642399,1.2,3.2,1.3,-2.235955336,4.9121029716,5.0362629045,8.482912072,10.215377882,12.077444178,12.848307626,15.890627131,14.148840351,8.1,6.5,2.7,-1.942333848,6.1428776156,6.5659824716,9.7636619578,12.403407331,12.971211696,13.758376266,15.559808619,13.831197952,9.3,9.7,4.1
"31","New Hampshire",1316470,1316462,1377529,1377524,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,1378702,1387494,1399003,1402054,300,3440,4030,2390,6719,3009,5957,6480,4678,6246,1178,8792,11509,3051,3269,12986,12363,12600,12215,12378,12355,12251,12023,12004,2994,12044,12332,12155,2538,10741,10516,10888,11154,11990,11837,12352,12378,12125,3481,13709,14674,14264,731,2245,1847,1712,1061,388,518,-101,-355,-121,-487,-1665,-2342,-2109,448,2888,3241,2520,2815,3885,3770,2490,2292,1947,88,1542,3834,859,-802,-1677,-896,-1714,2964,-1133,1719,4126,2784,4469,1272,8461,10118,4298,-354,1211,2345,806,5779,2752,5489,6616,5076,6416,1360,10003,13952,5157,-77,-16,-162,-128,-121,-131,-50,-35,-43,-49,305,454,-101,3,40104,42739,40105,40820,41112,40956,43338,42684,42741,42182,41068,41073,42736,37148,41517,41525,9.8492053741,9.3502049966,9.5063703999,9.1843382784,9.2729832778,9.224771966,9.1048473223,8.8985039145,8.8486703406,8.7,8.9,8.7,8.1464896752,7.9533087232,8.2147111836,8.3865828209,8.9823129343,8.8380109883,9.1799097319,9.1612477297,8.9378647017,9.9,10.5,10.2,1.7027156988,1.3968962735,1.2916592162,0.7977554575,0.2906703435,0.3867609776,-0.07506241,-0.262743815,-0.089194361,-1.2,-1.7,-1.5,2.1903977453,2.4511861517,1.90127408,2.1165707944,2.9104491868,2.8148434085,1.850548513,1.6963628855,1.4352183566,1.1,2.8,0.6,-1.27191725,-0.677649735,-1.293168164,2.2286024279,-0.848787369,1.2834789971,3.0664109095,2.0605036096,3.2942942146,6.1,7.3,3.1,0.918480495,1.7735364165,0.6081059161,4.3451732223,2.0616618178,4.0983224056,4.9169594225,3.7568664951,4.7295125712,7.2,10,3.7
"32","New Jersey",8791894,8791978,9288994,9289039,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,9272392,9269175,9260817,9290841,7468,28671,16825,12030,7553,3424,2878,14698,500,-3835,-16647,-3217,-8358,30024,26541,106677,104508,103457,103320,103115,102906,101676,100724,99501,24722,98001,102468,102055,17109,71062,69000,72453,70501,72547,71177,74783,75450,75723,33966,83971,82566,76563,9432,35615,35508,31004,32819,30568,31729,26893,25274,23778,-9244,14030,19902,25492,6995,34119,27597,28443,29837,41051,38619,44396,26340,21284,901,14745,38635,49298,-8741,-41078,-46100,-47391,-55253,-68366,-67547,-56601,-51151,-48946,-9361,-33561,-65605,-44666,-1746,-6959,-18503,-18948,-25416,-27315,-28928,-12205,-24811,-27662,-8460,-18816,-26970,4632,-218,15,-180,-26,150,171,77,10,37,49,1057,1569,-1290,-100,186903,180395,186707,187260,188496,188413,187505,186579,185404,183457,181921,180487,180438,169976,168464,168097,12.103431427,11.826815041,11.688792523,11.660414467,11.630074856,11.602378879,11.452352375,11.33542094,11.199886989,10.6,11.1,11,8.0626005988,7.8084954054,8.1858944745,7.9565513004,8.1823889887,8.0250181861,8.4232391879,8.4910995383,8.5234223021,9.1,8.9,8.3,4.0408308284,4.0183196356,3.5028980482,3.7038631669,3.4476858672,3.5773606928,3.0291131872,2.8443214013,2.6764646871,1.5,2.1,2.7,3.8710966456,3.1230586623,3.2135508059,3.3673227493,4.6300363954,4.3541899396,5.000576695,2.9642884273,2.3957386828,1.6,4.2,5.3,-4.660655588,-5.216980264,-5.35433626,-6.235703451,-7.710824784,-7.615745303,-6.375296007,-5.756504075,-5.509388535,-3.6,-7.1,-4.8,-0.789558942,-2.093921601,-2.140785454,-2.868380702,-3.080788389,-3.261555363,-1.374719312,-2.792215648,-3.113649852,-2,-2.9,0.5
"33","New Mexico",2059179,2059199,2117522,2117525,2064552,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829,2118488,2116950,2113476,2114371,5353,15898,6859,4964,-2705,-277,2339,154,957,4088,963,-1538,-3474,895,6649,27795,27040,26723,26364,26054,25263,24131,23404,23125,5327,21433,21151,20728,3836,16369,16470,16792,17139,17633,18141,18527,18574,18388,5523,24640,25470,22344,2813,11426,10570,9931,9225,8421,7122,5604,4830,4737,-196,-3207,-4319,-1616,387,3991,3650,5549,1780,3736,2437,2076,1437,1546,158,2259,5839,3642,2069,493,-7247,-10583,-13779,-12431,-7165,-7499,-5244,-2136,702,-1206,-4496,-1088,2456,4484,-3597,-5034,-11999,-8695,-4728,-5423,-3807,-590,860,1053,1343,2554,84,-12,-114,67,69,-3,-55,-27,-66,-59,299,616,-498,-43,42629,42841,42674,42669,43089,43203,43073,42906,42974,42970,42946,42907,42792,42993,43017,43081,13.411332492,12.975798265,12.787403142,12.608800765,12.469432446,12.084897084,11.536510611,11.185976903,11.039319071,10.1,10,9.8,7.8981867801,7.9035280111,8.0352532861,8.1968683171,8.4391457094,8.6779922414,8.8573590852,8.8774711586,8.7779891492,11.6,12,10.6,5.5131457114,5.0722702536,4.7521498561,4.4119324479,4.0302867362,3.4069048423,2.6791515255,2.3085057444,2.2613299217,-1.5,-2,-0.8,1.9256926776,1.7515408161,2.6552894524,0.8512997027,1.7880478858,1.1657718479,0.9924908221,0.6868163053,0.7380232339,1.1,2.8,1.7,0.2378768454,-3.4776483,-5.064142778,-6.589920564,-5.949470896,-3.427474473,-3.585110152,-2.506377665,-1.01967505,-0.6,-2.1,-0.5,2.163569523,-1.726107484,-2.408853326,-5.738620861,-4.16142301,-2.261702625,-2.59261933,-1.81956136,-0.281651816,0.5,0.6,1.2
"34","New York",19378102,19378144,20201249,20202320,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561,20104710,19854526,19673200,19571216,21734,99363,73691,51515,26602,3617,-21238,-43856,-59221,-76790,-97610,-250184,-181326,-101984,61427,243118,239915,239882,237017,239352,235832,231376,226993,222924,53056,205414,210106,207450,35112,149781,146882,152549,148838,153893,151605,155137,160899,164817,72698,177088,176382,165914,26315,93337,93033,87333,88179,85459,84227,76239,66094,58107,-19642,28326,33724,41536,18839,86625,89588,77368,83963,83817,88346,67742,55959,45753,1343,28769,77285,73867,-22616,-80582,-108406,-112483,-145432,-165857,-194013,-187910,-181262,-180649,-72398,-295159,-298341,-216778,-3777,6043,-18818,-35115,-61469,-82040,-105667,-120168,-125303,-134896,-71055,-266390,-221056,-142911,-804,-17,-524,-703,-108,198,202,73,-12,-1,-6913,-12120,6006,-609,585684,609872,585676,584227,582316,579173,577892,575164,573413,573147,571119,568613,576054,610499,613035,616970,12.499923199,12.280606968,12.239695925,12.069459288,12.178992292,12.005265514,11.797975678,11.604981942,11.436717793,10.3,10.6,10.6,7.7009970329,7.5184966037,7.7836326761,7.5791786309,7.8305661149,7.7176052368,7.9105116896,8.2259364365,8.4556419068,8.9,8.9,8.5,4.7989261659,4.7621103643,4.4560632485,4.4902806574,4.3484261767,4.2876602769,3.887463988,3.3790455058,2.9810758859,1.4,1.7,2.1,4.4538283759,4.5857700313,3.9476108849,4.2755920893,4.2648759856,4.497342121,3.4541977921,2.8608952017,2.3472759737,1.4,3.9,3.8,-4.143127252,-5.549013105,-5.739312315,-7.405737155,-8.43933255,-9.876427194,-9.581623027,-9.266991655,-9.267874399,-14.8,-15.1,-11,0.3107011241,-0.963243073,-1.79170143,-3.130145066,-4.174456564,-5.379085073,-6.127425235,-6.406096454,-6.920598425,-13.3,-11.2,-7.3
"35","North Carolina",9535483,9535751,10439388,10439459,9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084,10453812,10567100,10695965,10835491,38572,83269,91884,93860,89551,98759,123142,113445,113382,106469,14353,113288,128865,139526,29917,121068,119567,119394,120207,120836,120837,120151,120176,119203,28675,116747,121639,121148,18643,79974,79529,84358,83523,88466,89237,91775,93703,94312,25861,115480,117926,108491,11274,41094,40038,35036,36684,32370,31600,28376,26473,24891,2814,1267,3713,12657,4585,9732,21531,19092,17822,21249,20381,20173,14913,14184,679,9920,26184,29448,20699,32249,29492,39022,34379,44759,70958,64697,71915,67338,12492,101909,98524,97264,25284,41981,51023,58114,52201,66008,91339,84870,86828,81522,13171,111829,124708,126712,2014,194,823,710,666,381,203,199,81,56,-1632,192,444,157,257464,285561,272485,269827,269045,268448,267477,269420,277290,276164,280836,280891,273969,280778,281714,281967,12.590321869,12.32200557,12.187530815,12.156719713,12.10506652,11.972099678,11.766231842,11.639407709,11.423547604,11.1,11.4,11.3,8.316800485,8.1958799753,8.6111171791,8.4468100911,8.8623159881,8.8412842011,8.9874069071,9.0754178917,9.0381753949,11,11.1,10.1,4.2735213836,4.1261255951,3.5764136358,3.7099096223,3.2427505317,3.1308154774,2.7788249349,2.5639898173,2.3853722088,0.1,0.3,1.2,1.012067701,2.2188823165,1.9488779865,1.8023664074,2.1286748856,2.0192769065,1.9755157672,1.4443689852,1.3592912864,0.9,2.5,2.7,3.3536961868,3.0393050614,3.9832975481,3.4768014095,4.4838514379,7.0302659697,6.3356934314,6.9651844411,6.4531836324,9.7,9.3,9,4.3657638878,5.2581873779,5.9321755346,5.2791678168,6.6125263236,9.0495428762,8.3112091987,8.4095534263,7.8124749188,10.6,11.7,11.8
"36","North Dakota",672591,672576,779094,779079,674715,685225,701176,722036,737401,754066,754434,754942,758080,762062,779563,777982,778912,783926,2139,10510,15951,20860,15365,16665,368,508,3138,3982,484,-1581,930,5014,2336,9211,9879,10261,10974,11406,11341,11140,10570,10536,2563,10019,9839,9649,1494,6045,5936,6223,6204,6323,6145,6377,6150,6250,1751,7766,7390,6945,842,3166,3943,4038,4770,5083,5196,4763,4420,4286,812,2253,2449,2704,436,1070,1132,1094,783,2067,1436,2692,1063,951,29,453,1260,2298,817,6216,10456,15237,9492,9354,-6302,-6981,-2358,-1267,-448,-4008,-2727,-9,1253,7286,11588,16331,10275,11421,-4866,-4289,-1295,-316,-419,-3555,-1467,2289,44,58,420,491,320,161,38,34,13,12,91,-279,-52,21,25056,26204,25061,25639,25777,25917,25992,25840,25488,25323,25086,24335,26189,27965,28818,28831,13.546185861,14.251288047,14.419496182,15.038675873,15.295008203,15.036128605,14.761066825,13.972037419,13.861862905,12.9,12.6,12.3,8.8900980926,8.5631790514,8.7450077712,8.5019086127,8.4789003042,8.147166059,8.4498494742,8.1294257453,8.2229160171,10,9.5,8.9,4.6560877686,5.6881089959,5.6744884107,6.5367672603,6.8161078991,6.8889625456,6.3112173507,5.8426116739,5.6389468879,2.9,3.1,3.5,1.5735988352,1.6330051695,1.5373675882,1.0730165125,2.7717676623,1.9038780245,3.5670369742,1.405134889,1.2511989012,0.6,1.6,2.9,9.1415797756,15.083659057,21.412129746,13.00775573,12.543354965,-8.355319854,-9.250180207,-3.116940798,-1.666949535,-5.1,-3.5,0,10.715178611,16.716664226,22.949497334,14.080772243,15.315122628,-6.45144183,-5.683143233,-1.711805909,-0.415750634,-4.6,-1.9,2.9
"37","Ohio",11536504,11536751,11799448,11799331,11539336,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100,11798292,11765227,11759697,11785935,2585,5327,4260,27761,26016,14827,16843,25280,16691,12759,-1039,-33065,-5530,26238,34801,137921,137689,139088,139559,139561,138667,136909,135947,134291,32340,128271,128796,128826,26542,110620,111343,114504,111902,118309,117570,122177,119884,117750,33762,146812,149079,131288,8259,27301,26346,24584,27657,21252,21097,14732,16063,16541,-1422,-18541,-20283,-2462,3321,14560,17404,23979,20703,24447,24174,19217,13237,9553,518,9280,23737,28081,-8632,-36491,-39094,-20099,-21352,-30255,-28077,-8334,-12281,-12916,-2867,-27624,-4862,637,-5311,-21931,-21690,3880,-649,-5808,-3903,10883,956,-3363,-2349,-18344,18875,28718,-363,-43,-396,-703,-992,-617,-351,-335,-328,-419,2732,3820,-4122,-18,306496,299586,308996,309661,310173,310261,311443,312109,313447,317672,315111,317286,299438,270472,288579,296114,11.949489341,11.924436508,12.02891669,12.041648734,12.020640453,11.927370915,11.754862407,11.65127292,11.494839751,10.9,10.9,10.9,9.5841279494,9.6427640125,9.9027887138,9.6553040409,10.190167392,10.112723276,10.489988418,10.274601152,10.078988023,12.5,12.7,11.2,2.3653613917,2.2816724956,2.1261279758,2.3863446932,1.8304730613,1.8146476393,1.2648739891,1.3766717685,1.4158517273,-1.6,-1.7,-0.2,1.2614798675,1.5072583357,2.0738050249,1.786328748,2.1056641694,2.0793142168,1.6499513609,1.1344707838,0.8177033765,0.8,2,2.4,-3.161583918,-3.385701987,-1.738246265,-1.842326785,-2.605917677,-2.415028761,-0.715548454,-1.052537259,-1.10556441,-2.3,-0.4,0.1,-1.90010405,-1.878443651,0.3355587596,-0.055998037,-0.500253507,-0.335714544,0.9344029068,0.0819335249,-0.287861034,-1.6,1.6,2.4
"38","Oklahoma",3751351,3751582,3959353,3959411,3759944,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971,3965234,3991634,4019271,4053824,8362,28435,30435,34400,24973,31313,16831,4985,8919,16736,5823,26400,27637,34553,13157,52572,52344,53335,53074,53525,52860,51467,49525,48759,11579,47473,48121,48073,7878,37762,36961,38598,38607,39730,39282,40329,40486,40266,10353,50805,51669,45506,5279,14810,15383,14737,14467,13795,13578,11138,9039,8493,1226,-3332,-3548,2567,1200,6613,6498,5587,6415,9257,7697,4399,4353,4484,172,2188,5663,8380,1560,7030,8447,13841,4217,8317,-4358,-10504,-4408,3822,3825,26348,26304,23587,2760,13643,14945,19428,10632,17574,3339,-6105,-55,8306,3997,28536,31967,31967,323,-18,107,235,-126,-56,-86,-48,-65,-63,600,1196,-782,19,112276,117326,110218,110205,110200,110167,110153,110125,110056,110038,110048,110059,117255,117498,117361,117382,13.929451615,13.761712106,13.903755304,13.729465074,13.746058361,13.491868316,13.099850375,12.583288859,12.348417909,11.9,12,11.9,10.0054012,9.7173819568,10.062007073,9.9870644402,10.20328629,10.026249928,10.264905003,10.286663962,10.19753062,12.8,12.9,11.3,3.9240504149,4.0443301491,3.8417482314,3.7424006335,3.5427720708,3.4656183881,2.8349453723,2.2966248964,2.1508872885,-0.8,-0.9,0.6,1.7521772717,1.7083831053,1.4564597522,1.6594663761,2.3773425922,1.9645650857,1.1196736122,1.106008206,1.1355914991,0.5,1.4,2.1,1.8626653894,2.2207928733,3.6081724415,1.0908760262,2.135935869,-1.112326185,-2.673573908,-1.11998258,0.9679372679,6.6,6.6,5.8,3.6148426611,3.9291759786,5.0646321937,2.7503424024,4.5132784612,0.852238901,-1.553900296,-0.013974374,2.103528767,7.2,8,7.9
"39","Oregon",3831074,3831079,4237256,4237279,3837491,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,4217737,4245044,4256465,4239379,4233358,6412,34545,26965,23467,40776,52548,74184,53649,38261,35851,7765,11421,-17086,-6021,11884,45393,44925,45007,45452,45668,45593,44711,43425,43305,10281,39660,40521,39046,7822,32496,32943,33418,33804,35388,35334,36831,36180,36563,9546,41943,46369,43285,4062,12897,11982,11589,11648,10280,10259,7880,7245,6742,735,-2283,-5848,-4239,1565,10227,4187,3178,6700,5094,12604,8026,3356,3295,177,2609,7234,4304,995,11426,10910,8768,22278,36867,51117,37653,27663,25821,6407,10253,-17575,-6051,2560,21653,15097,11946,28978,41961,63721,45679,31019,29116,6584,12862,-10341,-1747,-210,-5,-114,-68,150,307,204,90,-3,-7,446,842,-897,-35,86642,96931,86647,86781,87735,86335,86882,87467,88799,88446,89233,89211,96910,97142,97031,97030,11.77581971,11.562163454,11.508579782,11.527684501,11.446996855,11.249520095,10.86061858,10.431792115,10.311177061,9.3,9.5,9.2,8.4300891611,8.4784051343,8.5451978394,8.5734807459,8.8702444756,8.7182361992,8.9465107673,8.6913584043,8.7058669181,9.9,10.9,10.2,3.3457305487,3.0837583195,2.9633819427,2.9542037548,2.5767523796,2.5312838956,1.9141078126,1.7404337103,1.6053101431,-0.5,-1.4,-1,2.6530810515,1.0775910602,0.8126350689,1.6992758549,1.2768459749,3.1098842207,1.9495722467,0.8061967608,0.7845590213,0.6,1.7,1,2.964124777,2.8078620653,2.2420340731,5.650219029,9.2409659513,12.612500136,9.1461803894,6.6453578645,6.1481330769,2.4,-4.1,-1.4,5.6172058286,3.8854531255,3.0546691421,7.3494948839,10.517811926,15.722384356,11.095752636,7.4515546253,6.9326920982,3,-2.4,-0.4
"40","Pennsylvania",12702379,12702868,13002700,13002788,12711160,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989,12995477,13013614,12972091,12961683,8292,34655,21303,9191,12004,-3487,-2551,5366,13281,1067,-7311,18137,-41523,-10408,36120,142973,142105,141793,142216,141920,140259,137982,136914,135190,32903,130245,131600,129489,30212,127718,125530,130935,126737,132748,129972,135741,134063,133439,40289,155661,155062,140568,5908,15255,16575,10858,15479,9172,10287,2241,2851,1751,-7386,-25416,-23462,-11079,5416,27287,25397,29379,34547,31806,37975,31046,31675,19532,626,10199,25721,25776,-1674,-7522,-18975,-30128,-36614,-43668,-50422,-27406,-20731,-19588,-3696,27803,-39731,-24825,3742,19765,6422,-749,-2067,-11862,-12447,3640,10944,-56,-3070,38002,-14010,951,-1358,-365,-1694,-918,-1408,-797,-391,-515,-514,-628,3145,5551,-4051,-280,426618,404194,426638,428445,430462,430750,429519,427319,425065,421898,421678,421745,404164,431829,432990,433964,11.232520753,11.139840331,11.102112493,11.126000611,11.099145866,10.971834468,10.792526655,10.701187089,10.560517904,10,10.1,10,10.034028002,9.8404993264,10.251952489,9.915030232,10.381830717,10.167128452,10.617242544,10.478353161,10.423736582,12,11.9,10.8,1.198492751,1.2993410048,0.850160004,1.2109703793,0.7173151485,0.8047060165,0.1752841112,0.2228339278,0.1367813215,-2,-1.8,-0.9,2.1437739559,1.990911825,2.3003178078,2.7027194065,2.4874537303,2.9706144627,2.4283224083,2.4757154202,1.5257640039,0.8,2,2,-0.590957881,-1.487480879,-2.358963032,-2.864427254,-3.415145868,-3.944287622,-2.14361283,-1.620333272,-1.530138507,2.1,-3.1,-1.9,1.552816075,0.5034309462,-0.058645224,-0.161707848,-0.927692138,-0.973673159,0.2847095782,0.8553821487,-0.004374503,2.9,-1.1,0.1
